date,pm10,pm25,co,no2,so2,o3,dust
4/1/2013,27.49583333,23.00416667,,21.41666667,,75.5,
4/2/2013,17.925,11.29583333,,20.2,,73.04166667,
4/3/2013,24.8,17.9125,,20.7125,,70.91666667,
4/4/2013,24.96666667,15.95833333,,19.97916667,,69.04166667,
4/5/2013,21.39166667,11.55416667,,18.92916667,,75.83333333,
4/6/2013,22.22083333,13.4,,23.86666667,,64.29166667,
4/7/2013,32.625,22.125,,44.19166667,,46.08333333,
4/8/2013,41.81666667,33.0125,,38.14583333,,48.45833333,
4/9/2013,40.35416667,35.53333333,,41.90833333,,23.875,
4/10/2013,51.825,41.70416667,,39.65833333,,26.70833333,
4/11/2013,25.74583333,17.49583333,,40.26666667,,29.83333333,
4/12/2013,14.4875,6.845833333,,28.23333333,,47.58333333,
4/13/2013,15.55833333,9.0375,,26.02916667,,48.875,
4/14/2013,13.59166667,8.1125,,15.07916667,,68.08333333,
4/15/2013,20.31666667,9.191666667,,19.525,,69.70833333,
4/16/2013,20.62916667,9.270833333,,20.52916667,,64.625,
4/17/2013,18.84583333,10.2125,,20.76666667,,57.375,
4/18/2013,18.5375,5.741666667,,15.26666667,,73.625,
4/19/2013,16.05833333,6.679166667,,23.26666667,,54.29166667,
4/20/2013,22.775,10.93333333,,33.12916667,,38.45833333,
4/21/2013,28.32916667,14.90416667,,37.09166667,,41.875,
4/22/2013,20.275,10.8875,,25.97916667,,50.08333333,
4/23/2013,22.91666667,12.65,,25.23333333,,39.70833333,
4/24/2013,20.80416667,11.51666667,,33.85833333,,20.45833333,
4/25/2013,28.74583333,21.43333333,,32.45416667,,33.29166667,
4/26/2013,14.57916667,8.179166667,,25.4875,,44.91666667,
4/27/2013,13.32083333,7.220833333,,20.9625,,52.70833333,
4/28/2013,15.3875,9.383333333,,28.84583333,,44.70833333,
4/29/2013,15.22083333,6.825,,19.89166667,,56.875,
4/30/2013,18.4,8.4375,,25.1375,,42.04166667,
5/1/2013,22.65833333,11.075,,22.31666667,,48,
5/2/2013,17.55416667,10.32916667,,29.26666667,,46.70833333,
5/3/2013,27.09166667,15.9625,,44.47083333,,36.29166667,
5/4/2013,13.51666667,5.733333333,,19.57083333,,55.125,
5/5/2013,19.25,9.666666667,,25.65,,42.54166667,
5/6/2013,26.875,15.7375,,34.74166667,,31.54166667,
5/7/2013,31.39583333,17.64583333,,44.55416667,,42.375,
5/8/2013,24.14166667,17,,29.45,,44.33333333,
5/9/2013,16.11666667,6.3,,14.91666667,,58.29166667,
5/10/2013,15.34166667,7.5,,16.4125,,60.83333333,
5/11/2013,9.354166667,4.316666667,,16.35416667,,60.625,
5/12/2013,10.94166667,5.666666667,,15.45416667,,51.125,
5/13/2013,14.27083333,7.716666667,,16.05,,61.125,
5/14/2013,14.60416667,6.8,,18.59166667,,56.29166667,
5/15/2013,8.2875,4.125,,18.35,,56.04166667,
5/16/2013,18.9625,13.62916667,,34.10833333,,30.58333333,
5/17/2013,14.99583333,10.79166667,,25.47083333,,49.29166667,
5/18/2013,16.38333333,13.2625,,26.63333333,,45.91666667,
5/19/2013,26.67916667,22.14166667,,29.81666667,,42.625,
5/20/2013,17.89583333,12.79166667,,26.69166667,,41.79166667,
5/21/2013,16.80416667,11.89583333,,20.40416667,,52.08333333,
5/22/2013,15.7125,10.01666667,,23.36666667,,45.29166667,
5/23/2013,11.44583333,4.733333333,,17.94583333,,51.125,
5/24/2013,9.9625,5.395833333,,20.7875,,35.20833333,
5/25/2013,13.625,8.7,,19.025,,53.5,
5/26/2013,17.82083333,12.21666667,,32.85,,50.83333333,
5/27/2013,17.68333333,13.74166667,,21.78333333,,68.875,
5/28/2013,18.95,16.7375,,36.15833333,,41.16666667,
5/29/2013,14.29583333,10.72083333,,29.025,,34.20833333,
5/30/2013,12.70416667,6.720833333,,19.30416667,,48.125,
5/31/2013,22.825,17.21666667,,21.4,,66.54166667,
6/1/2013,14.5625,8.995833333,,18.96666667,,43.375,
6/2/2013,15.11666667,10.29166667,,18.35416667,,48.08333333,
6/3/2013,16.14583333,10.64583333,,23.9875,,39.75,
6/4/2013,16.275,8.954166667,,16.07916667,,47.29166667,
6/5/2013,21.90833333,10.9125,,19.28333333,,46.66666667,
6/6/2013,19.58333333,14.3125,,18.85833333,,49.5,
6/7/2013,19.225,12.01666667,,17.80833333,,51.25,
6/8/2013,14.525,8.491666667,,10.44166667,,51.125,
6/9/2013,13.20416667,8.016666667,,9.325,,44.58333333,
6/10/2013,22.39583333,12.95416667,,24.94166667,,42.54166667,
6/11/2013,20.94583333,13.50833333,,25.57083333,,43.16666667,
